Arrondissement,Arrondissement_Nom,Annee,Prix_Median_m2,Prix_Moyen_m2,Nb_Ventes,Ecart_Type,Prix_Min_m2,Prix_Max_m2,Q1_m2,Q3_m2
14,Paris 14ème,2023,9818.18,9933.13,1901,5123.03,0.0,35000.0,8250.0,11470.59
14,Paris 14ème,2024,9300.0,9718.54,1631,3908.62,0.01,34814.81,7991.07,10757.34
15,Paris 15ème,2021,10601.72,10557.22,4150,4410.0,0.02,35000.0,9112.5,11944.44
15,Paris 15ème,2022,10500.0,10704.34,4253,4122.59,0.0,35000.0,9074.07,11892.86
15,Paris 15ème,2023,10000.0,10275.63,3396,3949.27,0.0,34444.44,8695.65,11308.64
15,Paris 15ème,2024,9482.63,9762.59,3204,3762.37,0.02,35000.0,8163.27,10882.35
16,Paris 16ème,2021,11628.47,11926.2,3390,5208.78,0.0,35000.0,10000.0,13727.83
16,Paris 16ème,2022,11794.76,12124.38,3507,5173.36,0.0,35000.0,10000.0,13990.49
16,Paris 16ème,2023,11372.55,11768.48,2783,5125.42,0.0,35000.0,9470.14,13649.0
16,Paris 16ème,2024,10705.88,11048.67,2533,5295.15,0.0,34666.52,8831.78,12916.67
17,Paris 17ème,2021,11228.07,11181.07,3507,4660.26,0.02,34863.03,9557.54,12750.0
17,Paris 17ème,2022,11290.32,11477.78,3659,4665.11,0.0,35000.0,9642.86,12903.23
17,Paris 17ème,2023,10711.31,10950.92,2860,4506.07,0.0,35000.0,8984.94,12403.61
17,Paris 17ème,2024,10000.0,10143.54,2697,4718.39,0.01,35000.0,8219.18,11753.25
18,Paris 18ème,2021,10221.82,10464.35,4035,4611.33,0.01,34933.33,8483.16,11968.18
18,Paris 18ème,2022,10000.0,10297.31,4306,4427.48,0.0,35000.0,8333.33,11697.41
18,Paris 18ème,2023,9262.39,9701.71,3435,4364.83,0.02,34800.0,7619.05,11111.11
18,Paris 18ème,2024,8636.36,9146.89,2977,4261.49,0.0,34500.0,7083.33,10454.55
19,Paris 19ème,2021,9250.0,9445.19,2202,3925.46,0.0,34782.61,7773.16,10625.0
19,Paris 19ème,2022,9142.86,9400.37,2198,3885.12,0.02,34666.67,7736.23,10390.19
19,Paris 19ème,2023,8764.58,9996.38,1864,5947.27,0.01,34507.04,7315.55,10230.19
19,Paris 19ème,2024,7853.69,8486.31,1660,4446.71,3.37,33763.44,6626.88,9113.05
20,Paris 20ème,2021,9619.06,9721.04,2357,3768.61,0.01,34066.67,8333.33,10750.0
20,Paris 20ème,2022,9333.33,9598.33,2647,3896.14,0.01,34950.0,8076.92,10555.56
20,Paris 20ème,2023,8777.82,8951.11,2100,3636.17,0.0,34857.14,7551.73,9968.19
20,Paris 20ème,2024,8222.22,8507.74,1964,3655.65,0.0,35000.0,7133.09,9367.23
